code,name,sector,market,lo,hi,c0,c1,gain_lh,gain_cc,date_lo,date_hi,vol_ratio,bars
3350,メタプラネット,商社・卸売,スタンダード,14.0,1930.0,58.0,307.0,13685.7,429.3,2023-12-14,2025-06-19,74.67,1225
6574,コンヴァノ,情報通信・サービスその他,グロース,4.5,375.0,6.7,113.0,8233.3,1586.6,2023-11-17,2025-08-20,3.21,1225
5803,フジクラ,鉄鋼・非鉄,プライム,75.2,5073.0,91.3,5028.0,6646.0,5407.1,2021-05-21,2026-04-09,8.36,1225
6016,ジャパンエンジンコーポレーション,自動車・輸送機,スタンダード,259.3,17090.0,365.7,12800.0,6490.8,3400.1,2022-03-09,2026-02-18,3.35,1225
1514,住石ホールディングス,エネルギー資源,スタンダード,114.0,5570.0,116.0,882.0,4786.0,660.3,2021-04-14,2024-03-07,0.35,1225
6085,アーキテクツ・スタジオ・ジャパン,情報通信・サービスその他,グロース,127.3,5300.0,245.3,2599.0,4063.4,959.5,2024-12-20,2026-03-17,11.45,1225
7014,名村造船所,自動車・輸送機,スタンダード,164.0,6050.0,211.0,4315.0,3589.0,1945.0,2021-05-17,2026-02-18,1.47,1225
5721,エスクリプトエナジー,鉄鋼・非鉄,スタンダード,7.6,232.0,16.8,105.0,2952.6,525.0,2025-01-16,2026-01-20,10.37,1225
7691,Ｃ　Ｃｈａｎｎｅｌ,小売,TOKYO PRO MARKET,1.0,30.0,1.0,30.0,2900.0,2900.0,2025-07-17,2025-10-17,0,1225
7003,三井Ｅ＆Ｓ,機械,プライム,312.0,8438.0,546.0,6183.0,2604.5,1032.4,2022-03-09,2026-03-03,5.0,1225
4107,伊勢化学工業,素材・化学,スタンダード,315.0,8450.0,343.5,5110.0,2582.5,1387.6,2021-04-28,2026-02-09,19.65,1225
6227,ＡＩメカテック,機械,スタンダード,356.3,9310.0,569.0,5910.0,2513.0,938.7,2022-02-24,2026-02-25,2.33,1148
