date,open,high,low,close,volume
2025-07-18,509.0,509.0,499.8,503.5,155170.0
2025-07-22,510.7,513.0,503.6,506.0,11030.0
2025-07-23,511.0,511.0,503.5,509.8,51150.0
2025-07-24,510.0,513.5,506.6,512.6,10400.0
2025-07-25,524.9,525.0,509.0,510.0,590.0
2025-07-28,515.9,515.9,503.8,503.8,410.0
2025-07-29,519.9,519.9,499.0,500.6,2760.0
2025-07-30,504.9,504.9,498.0,501.0,40650.0
2025-07-31,510.0,510.0,501.4,503.4,17440.0
2025-08-01,510.0,530.0,505.1,521.0,2610.0
2025-08-04,542.8,600.1,515.3,517.6,7540.0
2025-08-05,528.4,536.0,521.0,536.0,3050.0
2025-08-06,540.0,560.0,524.0,527.3,3330.0
2025-08-07,532.2,537.8,522.2,529.4,820.0
2025-08-08,537.8,537.8,530.0,530.0,1080.0
2025-08-12,538.7,548.9,531.0,539.6,4190.0
2025-08-13,549.6,549.9,535.0,543.3,1230.0
2025-08-14,549.7,549.7,534.9,549.7,3690.0
2025-08-15,578.9,578.9,527.0,531.0,7440.0
2025-08-18,539.9,544.6,531.7,538.1,2480.0
2025-08-19,544.0,550.1,540.7,547.6,1230.0
2025-08-20,545.8,550.6,540.0,550.6,750.0
2025-08-21,544.4,549.9,540.6,546.1,730.0
2025-08-22,540.3,546.8,540.3,545.2,660.0
2025-08-25,547.5,547.5,538.0,538.9,1890.0
2025-08-26,539.8,547.7,538.0,547.7,1010.0
2025-08-27,547.0,547.0,541.1,545.5,120.0
2025-08-28,545.0,545.0,535.0,539.2,790.0
2025-08-29,546.0,546.0,535.1,540.0,10200.0
2025-09-01,533.0,545.1,533.0,544.8,1900.0
2025-09-02,545.0,644.8,535.0,644.8,2010.0
2025-09-03,649.6,649.6,545.0,546.0,153840.0
2025-09-04,546.5,546.5,540.6,543.0,17020.0
2025-09-05,547.5,547.5,540.3,546.1,19370.0
2025-09-08,541.3,551.4,541.1,549.5,17440.0
2025-09-09,555.0,564.4,555.0,558.4,4280.0
2025-09-10,550.2,563.7,550.2,563.7,14090.0
2025-09-11,558.2,588.2,558.2,564.7,8460.0
2025-09-12,565.0,580.0,560.0,580.0,3400.0
2025-09-16,582.2,582.2,553.5,560.4,7770.0
2025-09-17,565.0,565.0,550.1,555.7,730.0
2025-09-18,564.0,564.0,551.0,553.1,1410.0
2025-09-19,553.1,557.0,548.0,550.9,6120.0
2025-09-22,550.2,550.2,545.6,545.7,2290.0
