date,open,high,low,close,volume
2025-03-07,650.0,652.0,634.0,634.0,41700.0
2025-03-14,634.0,646.0,622.0,638.0,97800.0
2025-03-21,643.0,646.0,631.0,634.0,77000.0
2025-03-28,635.0,643.0,616.0,617.0,95500.0
2025-04-04,600.0,629.0,508.0,557.0,306500.0
2025-04-11,507.0,556.0,460.0,551.0,339400.0
2025-04-18,561.0,596.0,547.0,576.0,388500.0
2025-04-25,570.0,588.0,568.0,582.0,85800.0
2025-05-02,592.0,592.0,563.0,568.0,52000.0
2025-05-09,565.0,579.0,565.0,571.0,43600.0
2025-05-16,575.0,624.0,572.0,611.0,237200.0
2025-05-23,621.0,635.0,579.0,582.0,165000.0
2025-05-30,592.0,619.0,585.0,610.0,79100.0
2025-06-06,612.0,616.0,575.0,576.0,146900.0
2025-06-13,587.0,622.0,587.0,611.0,165800.0
2025-06-20,613.0,657.0,611.0,631.0,237300.0
2025-06-27,631.0,684.0,611.0,660.0,392000.0
2025-07-04,663.0,671.0,632.0,640.0,141200.0
2025-07-11,640.0,738.0,640.0,737.0,230100.0
2025-07-18,737.0,785.0,728.0,743.0,316200.0
2025-07-25,758.0,849.0,739.0,844.0,537300.0
2025-08-01,832.0,840.0,759.0,775.0,369800.0
2025-08-08,753.0,800.0,726.0,750.0,261200.0
2025-08-15,750.0,750.0,683.0,684.0,596000.0
2025-08-22,694.0,741.0,689.0,721.0,258600.0
2025-08-29,749.0,760.0,710.0,720.0,191500.0
2025-09-05,720.0,831.0,714.0,798.0,570500.0
2025-09-12,803.0,976.0,772.0,836.0,1640800.0
2025-09-19,848.0,848.0,790.0,824.0,666400.0
2025-09-26,830.0,850.0,799.0,817.0,301200.0
2025-10-03,808.0,818.0,745.0,769.0,317400.0
2025-10-10,773.0,803.0,740.0,774.0,318000.0
2025-10-17,759.0,776.0,742.0,747.0,195400.0
2025-10-24,757.0,780.0,748.0,764.0,162000.0
2025-10-31,764.0,787.0,745.0,775.0,266300.0
2025-11-07,780.0,785.0,756.0,780.0,99300.0
2025-11-14,779.0,810.0,768.0,795.0,169400.0
2025-11-21,780.0,856.0,760.0,821.0,542600.0
2025-11-28,820.0,821.0,788.0,798.0,99000.0
2025-12-05,798.0,806.0,780.0,791.0,118200.0
2025-12-12,785.0,785.0,713.0,719.0,332100.0
2025-12-19,722.0,722.0,676.0,710.0,264300.0
2025-12-26,710.0,712.0,675.0,708.0,390500.0
2026-01-02,715.0,717.0,699.0,699.0,53100.0
2026-01-09,709.0,720.0,699.0,710.0,130000.0
2026-01-16,710.0,717.0,697.0,705.0,106000.0
2026-01-23,706.0,714.0,692.0,700.0,119300.0
2026-01-30,702.0,717.0,702.0,711.0,102600.0
2026-02-06,711.0,714.0,698.0,707.0,266100.0
2026-02-13,709.0,736.0,701.0,730.0,309200.0
2026-02-20,715.0,759.0,674.0,731.0,645500.0
2026-02-27,734.0,774.0,732.0,773.0,213300.0
2026-03-06,761.0,1018.0,743.0,1002.0,2498700.0
2026-03-13,982.0,997.0,930.0,945.0,1107300.0
2026-03-20,936.0,954.0,917.0,928.0,436000.0
2026-03-27,913.0,926.0,873.0,890.0,772700.0
2026-04-03,843.0,857.0,812.0,835.0,549100.0
2026-04-10,848.0,915.0,835.0,915.0,392800.0
